Compounds	Chemical Formula	InChI-Key	Pathways of compound	SMILES	Object ID	Synonyms	Molecular-Weight
lanosterol	C30H50O	InChIKey=CAHGCLMLTWQZNJ-BQNIITSRSA-N	lanosterol biosynthesis // sphingolipid biosynthesis (plants)	CC(C)=CCC[C@H]([C@@H]1([C@]3(C)([C@@](C)(CC1)C4(\CC[C@@H]2(C(C)(C)[C@@H](O)CC[C@@]2(C(\CC3)=4)C)))))C	LANOSTEROL	4,4,14alpha-trimethyl-5alpha-cholesta-8,24-dien-3beta-ol	426.724
lanthionine	C6H12N2O4S	InChIKey=DWPCPZJAHOETAG-IMJSIDKUSA-N	glutathione-mediated detoxification II	C([C@H](CSC[C@@H](C(=O)[O-])[NH3+])[NH3+])(=O)[O-]	CPD-3736	3,3'-thiobis-L-alanine // 3,3'-thiodi-L-alanine // L-lanthionine // beta,beta'-thiodi-L-alanine // S-((2R)-2-amino-2-carboxyethyl)-L-cysteine // S-(2-amino-2-carboxyethyl)-, (R)-L-cysteine // DL-lanthionine	208.232
laricitrin	C16H11O8	InChIKey=CFYMYCCYMJIYAB-UHFFFAOYSA-M	syringetin biosynthesis // superpathway of flavones and derivatives biosynthesis	COC1(/C=C(/C=C(C(\O)=1)/O)/C2(/OC3(/C=C(/C=C(C(\C(C(/[O-])=2)=O)=3)/O)/O)))	CPD-8605	3'-O-methylmyricetin	331.258
lathosterol	C27H46O	InChIKey=IZVFFXVYBHFIHY-SKCNUYALSA-N	sphingolipid biosynthesis (plants)	CC(C)CCC[C@H]([C@@H]4([C@]1(C)([C@H](C2([C@H](CC1)[C@]3(C)([C@@H](CC=2)C[C@@H](O)CC3)))CC4)))C	CPD-4186	cholesta-7-en-3beta-ol // 5alpha-cholest-7-en-3beta-ol // alpha-cholest-7-en-3beta-ol // cholesta-7-enol // Delta7-cholesten-3-beta-ol // gamma-cholesterol	386.66
laurate	C12H23O2	InChIKey=POULHZVOKOAJMA-UHFFFAOYSA-M	acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phosphatidylcholine acyl editing // phospholipases // triacylglycerol degradation // acyl-CoA hydrolysis // fatty acid &alpha;-oxidation I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // alkane oxidation // sporopollenin precursors biosynthesis // &omega;- hydroxylation of laurate // palmitate biosynthesis II (bacteria and plants) // superpathway of fatty acid biosynthesis II (plant)	CCCCCCCCCCCC([O-])=O	DODECANOATE	n-dodecanoic acid // dodecanoic acid // n-dodecanoic acid // lauric acid // tin II 2-ethylhexanoate // dodecanoate	199.312
lauroyl-CoA	C33H54N7O17P3S	InChIKey=YMCXGHLSVALICC-GMHMEAMDSA-J	palmitate biosynthesis II (bacteria and plants) // superpathway of fatty acid biosynthesis II (plant) // sphingolipid biosynthesis (plants) // CDP-diacylglycerol biosynthesis I // phosphatidylglycerol biosynthesis II (non-plastidic) // superpathway of phospholipid biosynthesis II (plants) // phosphatidylcholine acyl editing // diacylglycerol and triacylglycerol biosynthesis // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // acyl-CoA hydrolysis // sporopollenin precursors biosynthesis	CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	LAUROYLCOA-CPD	dodecanoyl-CoA (n-C12:0CoA) // Dodecanoyl-CoA (n-C12:0CoA) // lauroyl coenzyme A // dodecanoyl-CoA	945.808
leucodopachrome	C9H8NO4	InChIKey=JDWYRSDDJVCWPB-LURJTMIESA-M	L-dopa and L-dopachrome biosynthesis	C([O-])(=O)[C@H]1(NC2(\C=C(C(/O)=C\C(/C1)=2)\O))	CPD-8652	cyclo-dopa // 2-carboxy-2,3-dihydro-5,6-dihydroxyindole	194.166
leukotriene A<sub>4</sub>	C20H29O3	InChIKey=UFPQIRYSPUYQHK-XWYPZHSRSA-M	acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // fatty acid &alpha;-oxidation I // phosphatidylcholine acyl editing // phospholipases // triacylglycerol degradation // alkane oxidation	CCCCC\C=C/C\C=C/C=C/C=C/[C@@H]1(O[C@@H]1CCCC(=O)[O-])	CPD-8892	leukotriene A(4) // (7E,9E,11Z,14Z)-(5S,6S)-5,6-epoxyicosa-7,9,11,14-tetraenoate // LTA4	317.447
leukotriene B<sub>4</sub>	C20H31O4	InChIKey=VNYSSYRCGWBHLG-AMOLWHMGSA-M	acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // fatty acid &alpha;-oxidation I // phosphatidylcholine acyl editing // phospholipases // triacylglycerol degradation // alkane oxidation	CCCCC\C=C/C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)[O-]	6Z8E10E14Z-5S12R-512-DIHYDROXYI	(6z,8e,10e,14z)-(5s,12r)-5,12-dihydroxyicosa-6,8,10,14-tetraenoate	335.462
Li<sup>+</sup>	Li	InChIKey=HBBGRARXTFLTSG-UHFFFAOYSA-N		[Li+]	LI+	lithium ion	6.941
lignocerate	C24H47O2	InChIKey=QZZGJDVWLFXDLK-UHFFFAOYSA-M	acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phosphatidylcholine acyl editing // phospholipases // triacylglycerol degradation // acyl-CoA hydrolysis // fatty acid &alpha;-oxidation I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // alkane oxidation	CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O	TETRACOSANOATE	lignoceric acid // tetracosanoic acid // tetracosanoate	367.634
lignoceroyl-CoA	C45H78N7O17P3S	InChIKey=MOYMQYZWIUKGGY-JBKAVQFISA-J	cuticular wax biosynthesis // sphingolipid biosynthesis (plants) // CDP-diacylglycerol biosynthesis I // phosphatidylglycerol biosynthesis II (non-plastidic) // superpathway of phospholipid biosynthesis II (plants) // phosphatidylcholine acyl editing // diacylglycerol and triacylglycerol biosynthesis // very long chain fatty acid biosynthesis I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // acyl-CoA hydrolysis // very long chain fatty acid biosynthesis II	CCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	CPD-10280	tetracosanoyl-CoA	1114.129
linamarin	C10H17NO6	InChIKey=QLTCHMYAEJEXBT-ZEBDFXRSSA-N	glucosinolate activation	CC(C)(C#N)O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1)	LINAMARIN	2-(beta-D-glucopyranosyloxy)-2-methylpropanenitrile // 1-cyano-1-methylethyl beta-D-glucoside	247.247
linoleate	C18H31O2	InChIKey=OYHQOLUKZRVURQ-HZJYTTRNSA-M	acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phospholipases // triacylglycerol degradation // acyl-CoA hydrolysis // fatty acid &alpha;-oxidation I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // alkane oxidation // phosphatidylcholine acyl editing // long-chain fatty acid activation // divinyl ether biosynthesis I // 9-lipoxygenase and 9-allene oxide synthase pathway // 9-lipoxygenase and 9-hydroperoxide lyase pathway // divinyl ether biosynthesis II // traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis // superpathway of lipoxygenase	CCCCC\C=C/C\C=C/CCCCCCCC([O-])=O	LINOLEIC_ACID	cis,cis-9,12-octadecadienoate // 9-cis,12-cis-octadecadienoate // linoleic acid // 9,12-linoleic acid // (9Z,12Z)-octadeca-9,12-dienoate	279.442
linoleoyl-CoA	C39H62N7O17P3S	InChIKey=YECLLIMZHNYFCK-RRNJGNTNSA-J	long-chain fatty acid activation // cuticular wax biosynthesis // wax esters biosynthesis I // sphingolipid biosynthesis (plants) // CDP-diacylglycerol biosynthesis I // phosphatidylglycerol biosynthesis II (non-plastidic) // superpathway of phospholipid biosynthesis II (plants) // phosphatidylcholine acyl editing // diacylglycerol and triacylglycerol biosynthesis // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // acyl-CoA hydrolysis // linoleate biosynthesis I (plants)	CCCCC\C=C/C\C=C/CCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O	CPD-18	cis,cis-octadeca-9,12-dienoyl-CoA // (9Z,12Z)-octadeca-9,12-dienoyl-CoA // 18:2(n-6)	1025.937
linuron	C9H10N2O2Cl2	InChIKey=XKJMBINCVNINCA-UHFFFAOYSA-N		CN(OC)C(=O)NC1(\C=C/C(/Cl)=C(/C=1)/Cl)	CPD-16760	3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea	249.096
lipid A (<i>E. coli</i>)	C94H174N2O25P2	InChIKey=GZQKNULLWNGMCW-PWQABINMSA-J		CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]2([C@H]([C@H](OC[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H](O)1))O[C@H](CO)[C@H]2OP([O-])(=O)[O-])NC(C[C@H](OC(=O)CCCCCCCCCCC)CCCCCCCCCCC)=O)	CPD0-1283		1794.354
lipid A disaccharide (<i>E. coli</i>)	C68H127N2O20P	InChIKey=HLDJGHAAKRKPAV-QDORLFPLSA-L	lipid IV<sub>A</sub> biosynthesis	CCCCCCCCCCC[C@H](CC(=O)N[C@H]1([C@@H](O[C@H](CO)[C@H]([C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC)O)OC[C@@H]2([C@@H](O)[C@H](OC(C[C@H](O)CCCCCCCCCCC)=O)[C@@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OP([O-])([O-])=O)O2)))O	BISOHMYR-GLC	2,3-bis(3-hydroxymyristoyl)-beta-D-glucosaminyl-1,6-beta-D-2,3-bis(3-hydroxymyristoyl)-alpha-D-glucosaminyl 1-phosphate // 2,3-bis-(3-hydroxytetradecanoyl)-beta-D-glucosaminyl-(beta-D-1,6)-2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate // 2,3-bis-(3-hydroxytetradecanoyl)-D-glucosaminyl-(beta-D-1,6)-2,3-bis-(3-hydroxytetradecanoyl)-D-glucosaminyl-alpha-phosphate // 2,3-bis(3-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-2,3-bis(3-hydroxymyristoyl)-alpha-D-glucosaminyl 1-phosphate // 2'-3'-diacyl-GlcN(beta-1'-6)2,3-diacyl-GlcN-1-P // 2,3,2',3'-tetrakis(3-hydroxymyristoyl)-D-glucosaminyl-1,6-alpha-D-glucosamine 1-phosphate // 2,3-bis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-2,3-bis(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl 1-phosphate // [2-N,3-O-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl]-(1 -> 6)-[2-N,3-O-bis(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl phosphate] // tetraacyldisaccharide-1-phosphate	1323.726
lipid II	C40H64N8O25P	InChIKey=VXUSLIJCNHDPHD-UYSWVDQFSA-K		C[C@H](C(=O)N[C@H](C)C([O-])=O)NC(=O)[C@H](CCC[C@@H]([NH3+])C([O-])=O)NC(=O)CC[C@H](C(=O)[O-])NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]2([C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(C)=O)1))[C@@H](CO)O[C@@H]([C@H](NC(=O)C)2)OP([O-])(=O)O)	CPD-23878	P-[GlcNAc-MurNAc-pentapeptide]n	1087.958
lipid IV<sub>A</sub>	C68H126N2O23P2	InChIKey=KVJWZTLXIROHIL-QDORLFPLSA-J	lipid IV<sub>A</sub> biosynthesis // Kdo transfer to lipid IV<sub>A</sub> I	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1([C@@H](OP([O-])([O-])=O)O[C@@H]([C@@H](O)[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)1)CO[C@@H]2(O[C@H](CO)[C@H]([C@@H]([C@H]2NC(C[C@H](O)CCCCCCCCCCC)=O)OC(=O)C[C@H](O)CCCCCCCCCCC)OP([O-])([O-])=O))	LIPID-IV-A	2-deoxy-2-{[(3R)-3-hydroxypentadecanoyl]amino}-3-O-[(3R)-3-hydroxytetradecanoyl]-4-O-phosphono-beta-D-glucopyranosyl-(1->6)-2-deoxy-3-O-[(3R)-3-hydroxytetradecanoyl]-2-{[(3R)-3-hydroxytetradecanoyl]amino}-1-O-phosphono-alpha-D-glucopyranose	1401.69
lipid X	C34H64NO12P	InChIKey=HEHQDWUWJVPREQ-XQJZMFRCSA-L	lipid IV<sub>A</sub> biosynthesis	CCCCCCCCCCC[C@H](CC(N[C@@H]1([C@H]([C@@H]([C@H](O[C@@H]1OP([O-])(=O)[O-])CO)O)OC(C[C@@H](CCCCCCCCCCC)O)=O))=O)O	BISOHMYR-GLUCOSAMINYL-1P	2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosaminyl 1-phosphate // 2,3-bis(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl 1-phosphate // 2,3-bis(beta-hydroxymyristoyl)-alpha-D-glucosaminyl 1-phosphate // lipid X // 2,3-bis(3-hydroxymyristoyl)-alpha-D-glucosaminyl 1-phosphate	709.853
loganate	C16H23O10	InChIKey=JNNGEAWILNVFFD-CDJYTOATSA-M		C[C@H]1([C@@H](O)C[C@H]3([C@@H]1[C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))O/C=C3/C([O-])=O))	LOGANATE	loganic acid	375.352
loganin	C17H26O10	InChIKey=AMBQHHVBBHTQBF-UOUCRYGSSA-N		C[C@H]1([C@@H](O)C[C@H]3([C@@H]1[C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))O/C=C3/C(OC)=O))	LOGANIN		390.386
lupan-3&beta;,20-diol	C30H52O2	InChIKey=YDNYDUBBAZTLTQ-LIVJDELJSA-N		CC1(C)([C@H](CC[C@]5([C@H]1CC[C@]4(C)([C@@H](CC[C@@H]3([C@H]2([C@](C)(CC[C@@H](C(C)(C)O)2)CC[C@](C)34)))5))(C))O)	CPD-6951	3,20-dihydroxylupane	444.74
lupeol	C30H50O	InChIKey=MQYXUWHLBZFQQO-QGTGJCAVSA-N	lupeol biosynthesis // betulinate biosynthesis	C=C(C)[C@@H]5(CC[C@]4(C)(CC[C@]3(C)([C@H](CC[C@@H]2([C@@]1([C@H](C(C)(C)[C@H](CC1)O)CC[C@](C)23)(C)))[C@@H]45)))	CPD-90	lupenol // farganasterol // clerodol // monogynol B	426.724
lutein	C40H56O2	InChIKey=KBPHJBAIARWVSC-RGZFRNHPSA-N	lutein biosynthesis // superpathway of carotenoid biosynthesis in plants // carotenoid cleavage	CC(/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)C[C@@H](O)\C=C(C)/1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@H](O)CC(/C)=2)	CPD1F-119	Xanthophyll // (3R,3'R)-dihydroxy-alpha-carotene // (3R,3'R,6'R)-beta,epsilon-carotene-3,3'-diol	568.881
luteolin	C15H9O6	InChIKey=IQPNAANSBPBGFQ-UHFFFAOYSA-M	flavonoid biosynthesis (in equisetum) // luteolin biosynthesis // luteolin glycosides biosynthesis // chrysoeriol biosynthesis	C3(/C=C(C(/O)=C\C(\C1(\OC2(/C=C(/C=C(C(\C(=O)\C=1)=2)/O)/[O-])))=3)/O)	5734-TETRAHYDROXYFLAVONE	3',4',5,7-tetrahydroxyflavone // 3',4',5,7-tetrahydroxyflavone // 5,7,3',4'-tetrahydroxyflavone	285.232
luteolin 7-<i>O</i>-&beta;-D-glucoside	C21H20O11	InChIKey=PEFNSGRTCBGNAN-QNDFHXLGSA-N	luteolin glycosides biosynthesis	C4(/C=C(C(/O)=C\C(\C1(\OC2(/C=C(/C=C(C(\C(=O)\C=1)=2)/O)/O[C@@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)3))))=4)/O)	LUTEOLIN-7-O-BETA-D-GLUCOSIDE	luteolin 7-O-glucoside // 7-O-beta-D-glucosyl-5,7,3',4'-tetrahydroxyflavone // luteolin 7-O-beta-D-glucoside	448.382
luteolin 7-<i>O</i>-neohesperidoside	C27H30O15	InChIKey=SHPPXMGVUDNKLV-KMFFXDMSSA-N	luteolin glycosides biosynthesis	C[C@@H]5(O[C@@H](O[C@@H]1([C@H]([C@@H]([C@@H](CO)O[C@H]1OC4(\C=C3(C(\C(\C=C(C2(\C=C(C(/O)=C\C=2)\O))/O3)=O)=C(/C=4)\O)))O)O))[C@@H]([C@@H]([C@H]5O)O)O)	LUTEOLIN-7-O-NEOHESPERIDOSIDE	luteolin-7-rutinoside	594.525
luteolin-7-<i>O</i>-gentiobioside	C27H30O16	InChIKey=LDTDRTSKWGQBAA-IPOZFMEPSA-N	luteolin glycosides biosynthesis	C5(/C=C(C(/O)=C\C(\C1(\OC2(/C=C(/C=C(C(\C(=O)\C=1)=2)/O)/O[C@@H]4(O[C@H](CO[C@@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)3))[C@@H](O)[C@H](O)[C@@H](O)4))))=5)/O)	CPD-14825		610.524
<i>m</i>-topolin	C12H13N5O	InChIKey=RPDXXWXUUHHHMM-UHFFFAOYSA-N		C3(\N=C1(C(/NCN1)=C(NCC2(\C=C(\C=C/C=2)\O))\N=3))	M-TOPOLIN		243.268
m<sup>7</sup>GTP	C11H15N5O14P3	InChIKey=DKVRNHPCAOHRSI-KQYNXXCUSA-K		C[N+]2(\C3(C(=O)NC(/N)=N/C(N([C@H]1([C@H](O)[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1))\C=2)=3))	CPD0-2552	7-methyl-GTP	534.186
macarpine	C22H18NO6	InChIKey=SBVRPBAVNZNLKX-UHFFFAOYSA-N	sanguinarine and macarpine biosynthesis	C[N+]2(\C5(/C6(\C=C1(C(/OCO1)=C\C(\C(\OC)=C/C(/C3(/C(/OC)=C\C4(\OCOC(/C(\C=2)=3)=4)))=5)=6))))	CPD-7848		392.387
magnesium-protoporphyrin IX 13-monomethyl ester	C35H33N4O4Mg		3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	C=CC3(\C(/C)=C4(\C=C6(C(/C)=C(CCC(=O)[O-])/C(\C=C5(C(/CCC(=O)OC)=C(C)/C1(/N([Mg]N(C(/C=C2(C(/C)=C(C=C)/C(\C=1)=N2))=3)4)5)))=N6)))	MG-PROTOPORPHYRIN-MONOMETHYL-ESTER	Mg-protoporphyrin monomethyl ester // magnesium protoporphyrin monomethyl ester // MgPMME // magnesium-protoporphyrin IX 13-methyl ester // MgP monomethyl ester	597.975
maleate	C4H2O4	InChIKey=VZCYOOQTPOCHFL-UPHRSURJSA-L		C([O-])(=O)\C=C/C([O-])=O	MALEATE	maleic acid // cis-butenedioic acid	114.057
malonate	C3H2O4	InChIKey=OFOBLEOULBTSOW-UHFFFAOYSA-L	fatty acid biosynthesis (plant mitochondria)	C(C([O-])=O)C([O-])=O	MALONATE	malonyl // propanedioic acid // malonic acid	102.046
malonyl-CoA	C24H33N7O19P3S	InChIKey=LTYOQGRJFJAKNA-DVVLENMVSA-I	biotin-carboxyl carrier protein assembly // superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside) // sporopollenin precursors biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>) // salvianin biosynthesis // fatty acid biosynthesis initiation I // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // fatty acid biosynthesis (plant mitochondria) // very long chain fatty acid biosynthesis I // stearate biosynthesis II (bacteria and plants) // superpathway of fatty acid biosynthesis II (plant) // very long chain fatty acid biosynthesis II // phenolic malonylglucosides biosynthesis // glutathione-mediated detoxification II // olivetol biosynthesis // resveratrol biosynthesis // flavonoid biosynthesis (in equisetum) // flavonoid biosynthesis	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	MALONYL-COA	malonyl coenzyme A // malonylCoenzyme A	848.541
malonylshisonin	C39H37O21	InChIKey=HCZDGTUAMVKZNE-KMKFZPLVSA-M	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside) // anthocyanin biosynthesis	C([C@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OC2(\C(=[O+]C3(\C=C(/C=C(C(\C=2)=3)/O[C@H]4([C@@H]([C@H]([C@@H]([C@H](O4)COC(CC(=O)[O-])=O)O)O)O))\[O-]))C5(\C=C/C(/O)=C(/C=5)/O))))OC(/C=C/C6(\C=C/C(/O)=C\C=6))=O	CPD-7708		841.709
maltoheptaose	C42H72O36	InChIKey=BNABBHGYYMZMOA-QJBBZCPBSA-N	starch biosynthesis // superpathway of sucrose and starch metabolism I (non-photosynthetic tissue) // starch degradation II	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)O[C@H]2([C@H](O)[C@@H](O)[C@H](O[C@H](CO)2)O[C@H]3([C@H](O)[C@@H](O)[C@H](O[C@H](CO)3)O[C@H]7([C@H](O)[C@@H](O)[C@@H](O[C@H]6([C@H](O)[C@@H](O)[C@@H](O[C@H]4([C@H](O)[C@@H](O)[C@H](O[C@H](CO)4)O[C@H]5([C@H](O)[C@@H](O)C(O)O[C@H](CO)5)))O[C@H](CO)6))O[C@H](CO)7))))	CPD0-1133		1153.009
maltohexaose	C36H62O31	InChIKey=OCIBBXPLUVYKCH-LIGGPISVSA-N	starch biosynthesis // superpathway of sucrose and starch metabolism I (non-photosynthetic tissue) // starch degradation II	C([C@H]6(O[C@H](O[C@@H]5([C@H](O[C@H](O[C@@H]4([C@H](O[C@H](O[C@@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3([C@H](OC([C@@H]([C@H]3O)O)O)CO))CO))CO))[C@@H]([C@H]4O)O)CO))[C@@H]([C@H]5O)O)CO))[C@@H]([C@H]([C@@H]6O)O)O))O	MALTOHEXAOSE		990.867
maltol	C6H6O3	InChIKey=XPCTZQVDEJYUGT-UHFFFAOYSA-N		CC1(/O\C=C/C(=O)C(/O)=1)	CPD-15508	2-methyl-3-hydroxy-4H-pyran-4-one	126.112
maltopentaose	C30H52O26	InChIKey=FTNIPWXXIGNQQF-HZWIHCTQSA-N	starch biosynthesis // superpathway of sucrose and starch metabolism I (non-photosynthetic tissue) // starch degradation II	C([C@H]5(O[C@H](O[C@@H]4([C@H](O[C@H](O[C@@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3([C@H](OC([C@@H]([C@H]3O)O)O)CO))CO))CO))[C@@H]([C@H]4O)O)CO))[C@@H]([C@H]([C@@H]5O)O)O))O	MALTOPENTAOSE		828.725
maltotetraose	C24H42O21	InChIKey=LUEWUZLMQUOBSB-AYQJAVFRSA-N	starch biosynthesis // superpathway of sucrose and starch metabolism I (non-photosynthetic tissue) // starch degradation II	C([C@H]4(O[C@H](O[C@@H]3([C@H](O[C@H](O[C@@H]2([C@H](O[C@H](O[C@@H]1([C@H](OC(O)[C@@H]([C@H]1O)O)CO))[C@@H]([C@H]2O)O)CO))[C@@H]([C@H]3O)O)CO))[C@@H]([C@@H](O)[C@@H]4O)O))O	MALTOTETRAOSE		666.583
maltotriose	C18H32O16	InChIKey=FYGDTMLNYKFZSV-DZOUCCHMSA-N	starch biosynthesis // superpathway of sucrose and starch metabolism I (non-photosynthetic tissue) // starch degradation II	C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3([C@H](OC([C@@H]([C@H]3O)O)O)CO))CO)))O	MALTOTRIOSE	Amylotriose // amylotriose // alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-D-glucose	504.441
mannosylfructose-phosphate	C12H21O14P	InChIKey=PJTTXANTBQDXME-VJRJJCRKSA-L		C([C@H]2(O[C@H](O[C@@]1(O[C@H](COP([O-])(=O)[O-])[C@H]([C@H](O)1)O)CO)[C@H]([C@@H](O)[C@@H]2O)O))O	CPD-10683	beta-D-fructofuranosyl-alpha-D-mannopyranoside 6F-phosphate	420.263
marneral	C30H50O	InChIKey=VNBRFEUEYRHQBM-OPEBEUCHSA-N	marneral biosynthesis	CC(C)=CCCC(\C)=C/CCC(\C)=C/CC[C@]1(C)([C@H](C)CCC([C@@H](CCC=O)1)=C(C)C)	CPD-10285	Cyclohexanepropanal, 2,3-dimethyl-6-(1-methylethylidene)-2-[(3E,7E)-4,8,12-trimethyl-3,7,11-tridecatrien-1-yl]-, (1S,2R,3R)-	426.724
melatonin	C13H16N2O2	InChIKey=DRLFMBDRBRZALE-UHFFFAOYSA-N	serotonin and melatonin biosynthesis	CC(=O)NCCC1(\C2(/C=C(\C=C/C(/N\C=1)=2)/OC))	N-ACETYL-5-METHOXY-TRYPTAMINE	N-acetyl-5-methoxy-tryptamine // N-[2-(5-methoxyindol-3-yl)ethyl]acetamide // 5-methoxy-N-acetyltryptamine	232.282
menaquinol-<i>6</i>	C41H58O2	InChIKey=ZVENTDGZQVBWNA-RCIYGOBDSA-N	UMP biosynthesis I // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // <i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria) // superpathway of carotenoid biosynthesis in plants // L-proline degradation // L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis // L-citrulline biosynthesis // superpathway of L-citrulline metabolism // superpathway of glyoxylate cycle and fatty acid degradation // TCA cycle II (plants and fungi) // superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle // glycerol degradation I // glycerol-3-phosphate shuttle // glycerophosphodiester degradation // L-lysine degradation I	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C(\C)=C(C2(/C=C\C=C/C(/C(/O)=1)=2))/O)	CPD-12124	menaquinol(6) // MKH2-6	582.908
